target,model,metric,no_text_validation,no_text_test,rule_feature,rule_validation,rule_test,llm_feature,llm_validation,llm_test,llm_change_pct_vs_no_text,source
PV,MLP,RMSE,1441.555996629255,918.487957048747,Rule core,1318.1482269783137,924.4186465773074,LLM rule cloud,1405.6023611547027,918.1583095598758,0.03589023528740489,pv_mlp_feature_selection_confirm_rmse_mae_validation_selected_summary_20260527.csv
PV,MLP,MAE,770.738942359049,545.7650620203462,Rule core,705.5281224144734,545.9569766287559,LLM rule cloud,756.1353264850825,534.9437242951695,1.9827831567520315,pv_mlp_feature_selection_confirm_rmse_mae_validation_selected_summary_20260527.csv
PV,CNN,RMSE,1285.315964805675,1635.129753136136,Rule core,1283.8001784255891,1666.3439609717943,LLM rule cloud,1137.5262347338987,1606.0317001847282,1.7795562031452612,pv_neural_cloud_rule_si_rmse_20260527/candidate_results.csv
PV,CNN,MAE,798.9515274342708,1110.077791943913,Rule core,803.7142145645215,1031.188449387589,LLM rule cloud,732.3805070591433,1027.959733579156,7.39750483801285,pv_neural_cloud_rule_si_mae_20260527/candidate_results.csv
PV,GRU,RMSE,2008.8032541749944,1654.1686063486095,Rule core,1459.6198378079275,1510.1523570345346,LLM rule cloud,1431.7307170981376,1672.433106479548,-1.1041498466867539,pv_neural_cloud_rule_si_rmse_20260527/candidate_results.csv
PV,GRU,MAE,1617.8244675714614,1097.9383804631557,Rule core,1114.7413721499236,1017.319556263117,LLM rule cloud,957.0961289705284,1120.0257992073196,-2.0117175186868397,pv_neural_cloud_rule_si_mae_20260527/candidate_results.csv
PV,LSTM,RMSE,1915.818092207924,1628.246348955783,Rule core,1603.892819567267,1612.5447432214592,LLM rule cloud,1614.5450419544795,1644.1422088225424,-0.9762564415976471,pv_neural_cloud_rule_si_rmse_20260527/candidate_results.csv
PV,LSTM,MAE,1492.7145971768143,1133.685520414764,Rule core,1101.4838402421,1089.3957284629696,LLM rule cloud,1190.8969582451716,1131.3348620815495,0.20734659576090997,pv_neural_cloud_rule_si_mae_20260527/candidate_results.csv
PV,Transformer,RMSE,1430.137587901923,1537.5908461601548,Rule core,1286.4625607321502,1602.7935852316134,LLM rule cloud,1164.2982551599434,1461.9591990305644,4.918840881400036,pv_neural_cloud_rule_si_rmse_20260527/candidate_results.csv
PV,Transformer,MAE,1034.2954538317697,984.3131666637602,Rule core,864.1148771940223,1036.494878939303,LLM rule cloud,714.5038188252473,974.8270184977998,0.9637327313331365,pv_neural_cloud_rule_si_mae_20260527/candidate_results.csv
RT price,MLP,RMSE,21.07870424285667,20.82153655401404,Keyword rule-text,21.99328498053048,23.369674345306485,LLM rule-equivalent,18.953786255825484,22.67263112886973,-8.890288044082096,feature_family_constrained_vs_unconstrained_selected_llm_input_20260526.csv
RT price,MLP,MAE,14.612043715788204,11.707238327294116,Keyword rule-text,15.682880167655632,14.29129167240553,LLM rule-equivalent,12.915944203351216,13.886017261874708,-18.610528577871456,feature_family_constrained_vs_unconstrained_selected_llm_input_20260526.csv
RT price,CNN,RMSE,20.36637973220938,21.08954489383527,Keyword rule-text,25.8281512538423,21.74408646718594,LLM rule-equivalent,20.80844252873734,21.889682549721066,-3.7940015297327956,feature_family_constrained_vs_unconstrained_selected_llm_input_20260526.csv
RT price,CNN,MAE,14.26883161470404,11.856446148608178,Keyword rule-text,19.91954184055255,12.73421945280212,LLM rule-equivalent,14.766271737436856,13.013222868732212,-9.756521521078449,feature_family_constrained_vs_unconstrained_selected_llm_input_20260526.csv
RT price,GRU,RMSE,19.86131516490471,21.7751316482858,Keyword rule-text,18.1307552156784,21.186404349275254,LLM rule-equivalent,20.907511709066075,21.236365005329635,2.474229096100913,feature_family_constrained_vs_unconstrained_selected_llm_input_20260526.csv
RT price,GRU,MAE,13.410393257450252,12.619406229264312,Keyword rule-text,11.963198308558534,12.167272206773877,LLM rule-equivalent,15.127274532926164,12.190375547360864,3.3997691659099565,feature_family_constrained_vs_unconstrained_selected_llm_input_20260526.csv
RT price,LSTM,RMSE,22.14507806349801,21.0945743101581,Keyword rule-text,21.36920067354612,22.16276282691173,LLM rule-equivalent,22.104809235726897,21.90604020523744,-3.846799101741414,feature_family_constrained_vs_unconstrained_selected_llm_input_20260526.csv
RT price,LSTM,MAE,15.075984343448397,11.766212286206429,Keyword rule-text,14.880370175652896,13.22978274009034,LLM rule-equivalent,15.772096414288049,13.128480123927378,-11.577794149761694,feature_family_constrained_vs_unconstrained_selected_llm_input_20260526.csv
RT price,Transformer,RMSE,20.05745124117523,21.073695309870093,Keyword rule-text,19.301941020239862,20.86198068027826,LLM rule-equivalent,17.63683082581945,20.63565729147811,2.078600890593792,feature_family_constrained_vs_unconstrained_selected_llm_input_20260526.csv
RT price,Transformer,MAE,14.149381775667957,11.720954214720273,Keyword rule-text,12.847441699087817,11.653998267419542,LLM rule-equivalent,11.560121284441832,11.464583236616695,2.1872875996870844,feature_family_constrained_vs_unconstrained_selected_llm_input_20260526.csv
