seed,value_delta_musd,cvar95_loss_reduction_kusd_h,imbalance_reduction_gwh
71000,36.50784342886579,9.975617147620708,775.8846094403845
71001,35.93723512669301,9.216370869753241,754.8939967968054
71011,33.46363120969212,8.725709651837999,705.52274244456
71021,34.697951667681934,9.83514038914669,715.4936048434545
71031,35.89425199885773,10.334075594241789,740.5591440464948
71041,34.998204712834955,9.462387708013237,734.7745820398721
71051,33.79662625958455,9.295310982140188,722.9387599924598
71061,34.278795129755494,9.447260691383446,738.6129825195968
71071,34.90914002112782,10.14052369311644,724.037982723739
71081,33.97160977867031,9.717975520032981,734.6228819127157
